image, tag1, tag2
sonarqube, lts-enterprise, 10.2-community
sourcemage, 0.62, 0.61
spark, scala, 3.4.1
spiped, alpine, 1.5.0-alpine
storm, 2.5.0, 1.0.2
swarm, 1.2.9, 0.3.0-rc2
swift, slim, 5.5-focal
swipl, stable, 7.7.20
teamspeak, 3.13.7, 3.1.0
telegraf, alpine, 1.25.2
thrift, 0.12.0, 0.9.2
tomcat, jre21-temurin-jammy, 9.0.83
tomee, webprofile, 8.0-jre11-Semeru
traefik, v2.10.7, 2.10.1
ubuntu, mantic-20230926, bionic
ubuntu-debootstrap, devel, lucid
ubuntu-upstart, utopic, 13.04
unit, ruby3.2, 1.30.0-jsc11
varnish, old-alpine, 7.0.1
vault, 1.12.7, 1.10.0
websphere-liberty, kernel-java17-openj9, 23.0.0.7-full-java17-openj9
wordpress, php8.2-fpm, 6.3.1-apache
xwiki, lts-postgres-tomcat, 15.10
yourls, fpm-alpine, 1.7.4-fpm
znc, slim, 1.6.4
zookeeper, 3.9.1-jre-17, 3.4
amazon/aws-cli, 2.15.0, 2.13.1
amazon/aws-for-fluent-bit, init-debug-latest, init-amd64-debug-2.31.12.20231011
amazon/cloudwatch-agent, latest-arm64, 1.247351.0b251861-arm64
bitnami/etcd, 3.5.11-debian-11-r0, 3.5.9-debian-11-r111
bitnami/external-dns, 0.14.0-debian-11-r2, 0.13.5-debian-11-r10
bitnami/kubectl, 1.26.11-debian-11-r2, 1.25.14-debian-11-r15
bitnami/mariadb, 10.6.16-debian-11-r1, 10.5.22-debian-11-r44
bitnami/mongodb, 5.0.23-debian-11-r3, 6.0.10-debian-11-r17
bitnami/phpmyadmin, 5.2.1-debian-11-r78, 5.2.0-debian-11-r51
bitnami/postgresql, 15.5.0-debian-11-r15, 14.10.0-debian-11-r11
bitnami/rabbitmq, 3.12.10-debian-11-r2, 3.12.6-debian-11-r4
bitnami/zookeeper, 3.9.1-debian-11-r3, 3.7.1-debian-11-r424
datadog/agent, 7.50.0-rc.6, 6-jmx
fluent/fluent-bit, windows-2019-2.2.0, 2.1.9-amd64
google/cadvisor, canary, 0.1.3
google/cloud-sdk, 456.0.0-debian_component_based, 450.0.0-emulators
grafana/grafana, main-ubuntu, 10.0.3
grafana/loki, main, main-18778cd
kong/kong-gateway, 2.8.4.5-ubuntu, 3.4.2.0-20231110-ubuntu-fips
netdata/netdata, edge, v1.30.1
newrelic/php-daemon, 10.14.0, 9.2.0
nginx/nginx-ingress, edge, 3.0.0-alpine
portainer/portainer, linux-amd64-2.0.1, windows1809-amd64-1.24.1
portainer/portainer-ce, windowsltsc2022-amd64, windows1909-amd64-2.19.2
rancher/net, v0.13.17, v0.12.1
rancher/pause, 3.5, 3.1-amd64
rancher/rancher-agent, v2.8-07b114dd21372f69efdec2d5c5222b696af9eaa0-head, v2.8-19e19a76f7ece0d0fb7b4bde1eec18ed0ec594cf-windows-ltsc2022
rancher/server, v1.6.28, v1.6.14
rancher/shell, v0.1.22, v0.1.20
